"","Compound ID","ESOL predicted log solubility in mols per litre","Minimum Degree","Molecular Weight","Number of H-Bond Donors","Number of Rings","Number of Rotatable Bonds","Polar Surface Area","measured log solubility in mols per litre","smiles","compound"
"40","3-Chlorobiphenyl",-4.685,1,188.657,0,2,1,0,-4.88,"c1c(Cl)cccc1c2ccccc2","3-chlorobiphenyl"
"41","4-Pentene-1-ol",-0.791,1,86.134,1,0,3,20.23,-0.15,"OCCCC=C","4-pentene-1-ol"
"42","Cyclobutyl-5-spirobarbituric acid",-0.527,1,168.152,2,2,0,75.27,-1.655,"O=C2NC(=O)C1(CCC1)C(=O)N2","cyclobutyl-5-spirobarbituric acid"
"43","menthol",-2.782,1,156.269,1,1,1,20.23,-2.53,"CC(C)C1CCC(C)CC1O","menthol"
"44","Isopropyl formate",-0.684,1,88.106,0,0,2,26.3,-0.63,"CC(C)OC=O","isopropyl formate"
"45","2-Heptanol",-1.678,1,116.204,1,0,4,20.23,-1.55,"CCCCCC(C)O","2-heptanol"
"46","p-Bromoacetanilide",-3.012,1,214.062,1,1,1,29.1,-3.083,"CC(=O)Nc1ccc(Br)cc1","p-bromoacetanilide"
"47","brompyrazone",-3.005,1,266.098,1,2,1,60.91,-3.127,"c1ccccc1n2ncc(N)c(Br)c2(=O)","brompyrazone"
"48","nifedipine",-4.248,1,346.339,1,2,4,107.77,-4.76,"COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C","nifedipine"
"49","2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,"c2c(C)cc1nc(C)ccc1c2","2,7-dimethylquinoline"
"50","1-Octyne",-2.509,1,110.2,0,0,4,0,-3.66,"CCCCCCC#C","1-octyne"
"51","cyclobarbital",-2.421,1,236.271,2,2,2,75.27,-2.17,"CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2","cyclobarbital"
"52","Chrysene",-5.568,2,228.294,0,4,0,0,-8.057,"c1ccc2c(c1)ccc3c4ccccc4ccc23","chrysene"
"53","Bromacil",-3.419,1,261.119,1,1,2,54.86,-2.523,"CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O","bromacil"
"54","2,2',3,3',5,6-PCB",-7.185,1,360.882,0,2,1,0,-8.6,"Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl","2,2',3,3',5,6-pcb"
"55","2-Methylphenol",-2.281,1,108.14,1,1,0,20.23,-0.62,"Cc1ccccc1O","2-methylphenol"
"56","2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0,-5.05,"CC(C)CCC(C)(C)C","2,2,5-trimethylhexane"
"57","1,4-Dimethylnaphthalene",-4.147,1,156.228,0,2,0,0,-4.14,"Cc1ccc(C)c2ccccc12","1,4-dimethylnaphthalene"
"58","6-Methylchrysene",-5.931,1,242.321,0,4,0,0,-6.57,"Cc1cc2c3ccccc3ccc2c4ccccc14","6-methylchrysene"
"59","2-Pentanone",-0.846,1,86.134,0,0,2,17.07,-0.19,"CCCC(=O)C","2-pentanone"
"60","2,2',3,3',5,5',6,6'-PCB",-8.304,1,-429.772,0,2,1,0,-9.15,"Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl","2,2',3,3',5,5',6,6'-pcb"
"61","Methyl butyrate",-1.545,1,116.16,0,0,3,26.3,-0.82,"CCCOC(=O)CC","methyl butyrate"
"62","Triamcinolone",-2.734,1,394.439,4,4,2,115.06,-3.68,"CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO","triamcinolone"
"63","p-Aminophenol",-1.231,1,109.128,2,1,0,46.25,-0.8,"Nc1ccc(O)cc1","p-aminophenol"
"64","Benznidazole",-2.321,1,260.253,1,2,5,90.06,-2.81,"O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2","benznidazole"
"65","Atovaquone(0,430mg/ml) - neutral",-6.269,1,36684.4,1,4,2,54.37,-5.931,"OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O","atovaquone(0,430mg/ml) - neutral"
"66","Trietazine",-3.233,1,229.715,1,1,5,53.94,-4.06,"CCNc1nc(Cl)nc(n1)N(CC)CC","trietazine"
"67","Pyrazinamide",-0.674,1,123.115,1,1,1,68.87,-0.667,"NC(=O)c1cnccn1","pyrazinamide"
"68","Carbromal",-2.198,1,237.097,2,0,3,72.19,-2.68,"CCC(Br)(CC)C(=O)NC(N)=O","carbromal"
"69","2,2'-PCB",-4.984,1,223.102,0,2,1,0,-5.27,"Clc1ccccc1c2ccccc2Cl","2,2'-pcb"
"70","nitrofurantoin",-1.243,1,238.159,1,2,3,118.05,-3.38,"O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2","nitrofurantoin"
"71","Nitrofen",-5.361,1,284.098,0,2,3,52.37,-5.46,"Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2","nitrofen"
"72","Camphor",-2158,1,152.237,0,2,0,17.07,-1.96,"CC1(C)C2CCC1(C)C(=O)C2","camphor"
"73","5-Allyl-5-phenylbarbital",-2.36,1,244.25,2,2,3,75.27,-2.369,"O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1","5-allyl-5-phenylbarbital"
"74","Pentyl propanoate",-1.899,1,130.187,0,0,4,26.3,-2.25,"CCCCC(=O)OCC","pentyl propanoate"
"75","Isopentyl acetate",-1.817,1,130.187,0,0,3,26.3,-1.92,"CC(C)CCOC(=O)C","isopentyl acetate"
"76","3-Hexanoyloxymethylphenyltoin",-4.153,1,380.444,1,3,8,75.71,-5.886,"O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","3-hexanoyloxymethylphenyltoin"
"77","2,3',5-PCB",-5.762,1,257.547,0,2,1,0,-6.01,"Clc1cccc(c1)c2cc(Cl)ccc2Cl","2,3',5-pcb"
"78","1-Bromopropane",-1.949,1,122.993,0,0,1,0,-1.73,"CCCBr","1-bromopropane"
"79","Propiconazole",-4.603,1,342.226,0,3,5,49.17,-3.493,"CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl","propiconazole"
"80","Formothion",-2.087,1,257.273,0,0,6,55.84,-1.995,"COP(=S)(OC)SCC(=O)N(C)C=O","formothion"
"81","4-methylpteridine",-1.24,1,146.153,0,2,0,51.56,-0.466,"Cc1ncnc2nccnc12","4-methylpteridine"
"82","Thiourea",0.329,1,76.124,2,0,0,52.04,0.32,"NC(=S)N","thiourea"
"83","p-Xylene",-3.035,1,106.168,0,1,0,0,-2.77,"Cc1ccc(C)cc1","p-xylene"
"84","1,2-Diethylbenzene",-3.601,1,134.222,0,1,2,0,-3.28,"CCc1ccccc1CC","1,2-diethylbenzene"
"85","Hexachloroethane",-4.215,1,236.74,0,0,0,0,-3.67,"ClC(Cl)(Cl)C(Cl)(Cl)Cl","hexachloroethane"
"86","Flucythrinate",-6.878,1,451.469,0,3,9,68.55,-6.876,"CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3","flucythrinate"
"87","1-Nitropropane",-0.816,1,89.094,0,0,2,43.14,-0.8,"CCCN(=O)=O","1-nitropropane"
"88","Menthone",-2.516,1,154.253,0,1,1,17.07,-2.35,"CC(C)C1CCC(C)CC1=O","menthone"
"89","RTI 24",-4.423,1,273.723,1,3,1,45.23,-5.36,"CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23","rti 24"
"90","2,3-Dichloronitrobenzene",-3.322,1,192.001,0,1,1,43.14,-3.48,"O=N(=O)c1c(Cl)c(Cl)ccc1","2,3-dichloronitrobenzene"
"91","thiamylal",-3.063,1,254.355,2,1,5,58.2,-3.46,"CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O","thiamylal"
"92","Fluoranthene",-4.957,2,202.256,0,4,0,0,-6,"c1ccc2c(c1)c3cccc4cccc2c34","fluoranthene"
"93","Propylisopropylether",-1.354,1,102.177,0,0,3,9.23,-1.34,"CCCOC(C)C","propylisopropylether"
"94","1,3-Dimethylnaphthalene",-4.147,1,156.228,0,2,0,0,-4.29,"Cc1cc(C)c2ccccc2c1","1,3-dimethylnaphthalene"
"95","diethylstilbestrol",-5.074,1,268.356,2,2,4,40.46,-4.07,"CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2","diethylstilbestrol"
"96","Chlorothalonil",-3.995,1,265.914,0,1,0,47.58,-5.64,"c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1","chlorothalonil"
"97","2,3',4',5-PCB",-6.312,1,291.992,0,2,1,0,-7.25,"Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2","2,3',4',5-pcb"
"98","styrene oxide",-1.826,2,120.151,0,2,1,12.53,-1.6,"C1OC1c2ccccc2","styrene oxide"
"99","Isopropylbenzene",-3.265,1,120.195,0,1,1,0,-3.27,"CC(C)c1ccccc1","isopropylbenzene"
"100","Deoxycorticosterone",-3.939,1,330.468,1,4,2,54.37,-3.45,"CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO","deoxycorticosterone"
"101","chlorquinox",-4.438,1,267.93,0,2,0,25.78,-5.43,"c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl)","chlorquinox"
"102","L-arabinose",0.601,1,150.13,4,1,0,90.15,0.39,"C1OC(O)C(O)C(O)C1O","l-arabinose"
"103","Dichloromethane",-1.156,1,84.933,0,0,0,0,-0.63,"ClCCl","dichloromethane"
"104","1-Ethylnaphthalene",-4.1,1,156.228,0,2,1,0,-4.17,"CCc1cccc2ccccc12","1-ethylnaphthalene"
"105","Methyl formate",-0.048,1,60.052,0,0,1,26.3,0.58,"COC=O","methyl formate"
"106","o-Nitrophenol",-2.318,1,139.11,1,1,1,63.37,-1.74,"Oc1ccccc1N(=O)=O","o-nitrophenol"
"107","thymine",-0.78,1,126.115,2,1,0,65.72,-1.506,"Cc1c[nH]c(=O)[nH]c1=O","thymine"
"108","2-Methylpropane",-1.891,1,58.124,0,0,0,0,-2.55,"CC(C)C","2-methylpropane"
"109","Inosine",-0.834,1,268.229,4,3,2,133.75,-1.23,"OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23","inosine"
"110","Ioxynil",-4.615,1,370.915,1,1,0,44.02,-3.61,"Oc1c(I)cc(C#N)cc1I","ioxynil"
"111","Niclosamide",-5.032,1,327.123,2,2,3,92.47,-4.7,"Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O","niclosamide"
"112","Pentane",-2.261,1,72.151,0,0,2,0,-3.18,"CCCCC","pentane"
"113","Phenol",-1.991,1,94.113,1,1,0,20.23,0,"c1ccccc1O","phenol"
"114","2-aminoanthracene",-3.789,1,193.249,1,3,0,26.02,-5.17,"Nc3ccc2cc1ccccc1cc2c3","2-aminoanthracene"
"115","theobromine",-1.05,1,180.167,1,2,0,NA,-2.523,"Cn1cnc2n(C)c(=O)[nH]c(=O)c12","theobromine"
"116","Isoquinoline",-2.531,2,129.162,0,2,0,12.89,-1.45,"c1ccc2cnccc2c1","isoquinoline"
"117","Anilofos",-5.106,1,367.86,0,1,7,38.77,-4.432,"COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1","anilofos"
"118","Hexylbenzene",-4.22,1,162.276,0,1,5,0,-5.21,"CCCCCCc1ccccc1","hexylbenzene"
"119","2-Chlorobiphenyl",-4.528,1,188.657,0,2,1,0,-4.54,"Clc1ccccc1c2ccccc2","2-chlorobiphenyl"
"120","2-Methyl-1-Pentene",-2.348,1,84.162,0,0,2,0,-3.03,"CCCC(=C)C","2-methyl-1-pentene"
"121","2,3,4-Trimethylpentane",-3.276,1,114.232,0,0,2,0,-4.8,"CC(C)C(C)C(C)C","2,3,4-trimethylpentane"
"122","Pentachlorobenzene",-5.168,1,250.339,0,1,0,0,-5.65,"Clc1cc(Cl)c(Cl)c(Cl)c1Cl","pentachlorobenzene"
"123","m-Nitrophenol",-2.318,1,139.11,1,1,1,63.37,-1.01,"Oc1cccc(c1)N(=O)=O","m-nitrophenol"
"124","1-Decene",-3.781,1,140.27,0,0,7,0,-5.51,"CCCCCCCCC=C","1-decene"
"125","Glyceryl triacetate",-1.285,1,218.205,0,0,5,78.9,-0.6,"CC(=O)OCC(COC(=O)C)OC(=O)C","glyceryl triacetate"
"126","dimethirimol",-3.57,1,209.293,1,1,4,49.25,-2.24,"CCCCc1c(C)nc(nc1O)N(C)C","dimethirimol"
"127","Cyfluthrin",-6.84,1,434.294,0,3,6,59.32,-7.337,"CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2","cyfluthrin"
"128","Pyridine",-1.481,2,79.102,0,1,0,12.89,0.76,"c1ccncc1","pyridine"
"129","1-Bromoheptane",-3.366,1,179.101,0,0,5,0,-4.43,"CCCCCCCBr","1-bromoheptane"
"130","3,4-Dimethylpyridine",-2.067,1,107.156,0,1,0,12.89,0.36,"Cc1ccncc1C","3,4-dimethylpyridine"
"131","Fludrocortisone",-3.172,1,380.456,3,4,2,94.83,-3.43,"CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO","fludrocortisone"
"132","ethiofencarb",-2.855,1,225.313,1,1,4,38.33,-2.09,"CCSCc1ccccc1OC(=O)NC","ethiofencarb"
"133","Malonic acid diethylester",-1.413,1,160.169,0,0,4,52.6,-0.82,"CCOC(=O)CC(=O)OCC","malonic acid diethylester"
"134","d-Limonene",-3.429,1,136.238,0,1,1,0,-4.26,"CC1=CCC(CC1)C(C)=C","d-limonene"
"135","Indan",-3.057,2,118.179,0,2,0,0,-3.04,"C1Cc2ccccc2C1","indan"
"136","p-t-Butylphenol",-3.192,1,150.221,1,1,0,20.23,-2.41,"CC(C)(C)c1ccc(O)cc1","p-t-butylphenol"
"137","Cyclopropyl-5-spirobarbituric acid",-0.088,1,154.125,2,2,0,75.27,-1.886,"O=C2NC(=O)C1(CC1)C(=O)N2","cyclopropyl-5-spirobarbituric acid"
"138","m-Chloroiodobenzene",-4.384,1,238.455,0,1,0,0,-3.55,"Clc1cccc(I)c1","m-chloroiodobenzene"
"139","1-Bromonapthalene",-4.434,1,207.07,0,2,0,0,-4.35,"Brc1cccc2ccccc12","1-bromonapthalene"
"140","trans-2-Pentene",-2.076,1,70.135,0,0,1,0,-2.54,"CC/C=C/C","trans-2-pentene"
"141","2,6-Dimethylpyridine",-2.098,1,107.156,0,1,0,12.89,0.45,"Cc1cccc(C)n1","2,6-dimethylpyridine"
"142","Trichloroethylene",-2.312,1,131.389,0,0,0,0,-1.96,"ClC=C(Cl)Cl","trichloroethylene"
"143","1-Napthylamine",-2.721,1,143.189,1,2,0,26.02,-1.92,"Nc1cccc2ccccc12","1-napthylamine"
"144","m-Xylene",-3.035,1,106.168,0,1,0,0,-2.82,"Cc1cccc(C)c1","m-xylene"
"145","2-hydroxypteridine",-1.404,1,148.125,1,2,0,71.79,-1.947,"Oc2ncc1nccnc1n2","2-hydroxypteridine"
"146","Methanol",0.441,1,32.042,1,0,0,20.23,1.57,"CO","methanol"
"147","Amobarbital",-2.312,1,226.276,2,1,4,75.27,-2.468,"CCC1(CCC(C)C)C(=O)NC(=O)NC1=O","amobarbital"
"148","2-Butanone",-0.491,1,72.107,0,0,1,17.07,0.52,"CCC(=O)C","2-butanone"
"149","5-fluorouracil",-0.792,1,130.078,2,1,0,65.72,-1.077,"Fc1c[nH]c(=O)[nH]c1=O","5-fluorouracil"
"150","TUBERCIDIN",-0.892,1,266.257,4,3,2,126.65,-1.95,"Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O","tubercidin"
"151","1,3-Benzenediol",-1.59,1,110.112,2,1,0,40.46,0.81,"Oc1cccc(O)c1","1,3-benzenediol"
"152","1-Hexanol",-1.397,1,102.177,1,0,4,20.23,-1.24,"CCCCCCO","1-hexanol"
"153","1-Chloropentane",-2.294,1,106.596,0,0,3,0,-2.73,"CCCCCCl","1-chloropentane"
"154","1,3-Butadiene",-1.376,1,54.092,0,0,1,0,-1.87,"C=CC=C","1,3-butadiene"
"155","Propyl acetate",-1.125,1,102.133,0,0,2,26.3,-0.72,"CCCOC(=O)C","propyl acetate"
"156","5,6,7,8-tetrahydro-2-naphthol",-3.086,1,148.205,1,2,0,20.23,-1.99,"Oc2ccc1CCCCc1c2","5,6,7,8-tetrahydro-2-naphthol"
"157","chloroacetamide",-0.106,1,93.513,1,0,1,43.09,-0.02,"NC(=O)CCl","chloroacetamide"
"158","Iodofenphos",-6.148,1,413,0,1,4,27.69,-6.62,"COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl","iodofenphos"
"159","4-Chlorotoluene",-3.297,1,126.586,0,1,0,0,-3.08,"Cc1ccc(Cl)cc1","4-chlorotoluene"
"160","Metribuzin",-2.324,1,214.294,1,1,1,73.8,-2.253,"CSc1nnc(c(=O)n1N)C(C)(C)C","metribuzin"
"161","Tricresyl phosphate",-6.39,1,368.369,0,3,6,44.76,-6.01,"Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1","tricresyl phosphate"
"162","Caproaldehyde",-1.457,1,100.161,0,0,4,17.07,-1.3,"CCCCCC=O","caproaldehyde"
"163","Butamben",-3.039,1,193.246,1,1,4,52.32,-3.082,"CCCCOC(=O)c1ccc(N)cc1","butamben"
"164","RTI 3",-3.049,1,255.277,1,3,0,68.45,-3.043,"O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23","rti 3"
"165","Nerol",-2.603,1,154.253,1,0,4,20.23,-2.46,"CC(C)=CCC/C(C)=C\CO","nerol"
"166","2,4'-PCB",-5.142,1,223.102,0,2,1,0,-5.28,"Clc1ccc(cc1)c2ccccc2Cl","2,4'-pcb"
"167","3-Octanoyloxymethylphenytoin",-4.84,1,408.498,1,3,10,75.71,-6.523,"O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","3-octanoyloxymethylphenytoin"
"168","Nitroethane",-0.462,1,75.067,0,0,1,43.14,-0.22,"CCN(=O)=O","nitroethane"
"169","Ethalfluralin",-5.063,1,333.266,0,1,6,89.52,-6.124,"CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O","ethalfluralin"
"170","1,2,3,4-Tetrachlorobenzene",-4.546,1,215.894,0,1,0,0,-4.57,"Clc1ccc(Cl)c(Cl)c1Cl","1,2,3,4-tetrachlorobenzene"
"171","Meprobamate",-1.376,1,218.253,2,0,6,104.64,-1.807,"CCCC(C)(COC(N)=O)COC(N)=O","meprobamate"
"172","pregnenolone",-4.342,1,316.485,1,4,1,37.3,-4.65,"CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C","pregnenolone"
"173","Iodomethane",-1.646,1,141.939,0,0,0,0,-1,"CI","iodomethane"
"174","cycloheximide",-1.532,1,NA,2,2,3,83.47,-1.13,"CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2","cycloheximide"
"175","3-Heptanoyloxymethylphenytoin",-4.496,1,394.471,1,3,9,75.71,-6.301,"O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","3-heptanoyloxymethylphenytoin"
"176","isophorone",-2.015,1,138.21,0,1,0,17.07,-1.06,"CC1=CC(=O)CC(C)(C)C1","isophorone"
"177","Butabarbital",-1.958,1,212.249,2,1,3,75.27,-2.39,"O=C1NC(=O)NC(=O)C1(CC)C(C)CC","butabarbital"
"178","5-Nonanone",-2.329,1,142.242,0,0,6,17.07,-2.58,"CCCCC(=O)CCCC","5-nonanone"
"179","Glutethimide",-2.591,1,217.268,1,2,2,46.17,-2.337,"CCC1(CCC(=O)NC1=O)c2ccccc2","glutethimide"
"180","3-Methylpentane",-2.6,1,86.178,0,0,2,0,-3.68,"CCC(C)CC","3-methylpentane"
"181","Etofenprox",-6.896,1,376.496,0,3,9,27.69,-8.6,"CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3","etofenprox"
"182","Methaqualone",-3.881,1,250.301,0,3,1,34.89,-2.925,"Cc1ccccc1n3c(C)nc2ccccc2c3=O","methaqualone"
"183","Chloroacetonitrile",-0.448,1,75.498,0,0,0,23.79,-0.092,"ClCC#N","chloroacetonitrile"
"184","Trichloronate",-5.225,1,333.604,0,1,5,18.46,-5.752,"CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl","trichloronate"
"185","Ethisterone",-3.858,1,312.453,1,4,0,37.3,-5.66,"CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C","ethisterone"
"186","Pyridazine",-0.619,2,80.09,0,1,0,25.78,1.1,"c1ccnnc1","pyridazine"
"187","1,2,3,5-Tetrachlorobenzene",-4.621,1,215.894,0,1,0,0,-4.63,"Clc1cc(Cl)c(Cl)c(Cl)c1","1,2,3,5-tetrachlorobenzene"
"188","Diosgenin",-5.681,1,414.63,1,6,0,38.69,-7.32,"C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21","diosgenin"
"189","o-Aminophenol",-1.465,1,109.128,2,1,0,46.25,-0.72,"Nc1ccccc1O","o-aminophenol"
"190","Ethyl nonanoate",-3.316,1,186.295,0,0,8,26.3,-3.8,"CCCCCCCCC(=O)OCC","ethyl nonanoate"
"191","metalaxyl",-2.87,1,279.336,0,1,5,55.84,-1.601,"COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C","metalaxyl"
"192","Propoxur",-2.409,1,209.245,1,1,3,47.56,-2.05,"CNC(=O)Oc1ccccc1OC(C)C","propoxur"
"193","2-Chlorobutane",-1.94,1,92.569,0,0,1,0,-1.96,"CCC(C)Cl","2-chlorobutane"
"194","2-Napthol",-3.08,1,144.173,1,2,0,20.23,-2.28,"Oc1ccc2ccccc2c1","2-napthol"
"195","Oxadiazon",-5.265,1,345.226,0,2,3,57.26,-5.696,"CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C","oxadiazon"
